game_id,game_type,board_size,disk_count,moves_count,solutions_count,started_at,finished_at
41e7e95c-fae9-44ac-a808-604104b7e27f,hanoi,,6,63,,2025-04-18T11:51:29.4305228,2025-04-18T11:51:29.437516
e553640c-b542-445e-870a-51c199c71d0f,knight,8,,63,,2025-04-18T11:53:59.3951059,2025-04-18T11:53:59.3975892
e70f33e9-af9b-4caa-8d16-b49a9f55089c,hanoi,,6,63,,2025-04-18T11:58:45.689896600,2025-04-18T11:58:45.689896600
0802e717-b250-4e6d-95e3-259a4a3fe1bb,knight,5,,24,,2025-04-18T11:59:59.499162,2025-04-18T11:59:59.499162
c1f9d071-298e-46d3-9e1f-75bdf1372d0c,hanoi,,8,255,,2025-04-18T12:08:30.242577100,2025-04-18T12:08:30.242577100
a7b9166b-b81d-4c2c-aedb-556975b8211f,hanoi,,6,63,,2025-04-18T12:26:27.502830600,2025-04-18T12:26:27.502830600
efb6ebc0-5a3f-4cd0-a227-5e9262921af0,hanoi,,6,63,,2025-04-18T12:28:14.322256400,2025-04-18T12:28:14.322256400
f1e90a91-c345-44bb-9127-07edca3fdeab,queens,8,,,92,2025-04-18T12:29:25.937283300,2025-04-18T12:29:25.937283300
84b779b7-699b-4975-8f2f-ec6a5fe77ee3,queens,8,,,92,2025-04-18T12:36:20.531268700,2025-04-18T12:36:20.531268700
c0e46e94-20c3-43fa-9ca3-217896832abf,queens,5,,,10,2025-04-18T12:37:28.845110400,2025-04-18T12:37:28.845110400
f578eacb-40f9-4821-8d02-3c15871f0c32,queens,6,,,4,2025-04-18T12:43:02.394095700,2025-04-18T12:43:02.394095700
96c7466d-d340-4c33-8e62-e2db72e207e6,queens,6,,,4,2025-04-18T12:43:11.398068300,2025-04-18T12:43:11.398068300
ba24cc0a-e858-4a78-9d8e-481bf0d18101,queens,8,,,92,2025-04-18T12:43:18.133494,2025-04-18T12:43:18.133494
