step,disk_size,from_tower,to_tower,move_description
1,1,A,B,"Mover disco 1 de A a B"
2,2,A,C,"Mover disco 2 de A a C"
3,1,B,C,"Mover disco 1 de B a C"
4,3,A,B,"Mover disco 3 de A a B"
5,1,C,A,"Mover disco 1 de C a A"
6,2,C,B,"Mover disco 2 de C a B"
7,1,A,B,"Mover disco 1 de A a B"
8,4,A,C,"Mover disco 4 de A a C"
9,1,B,C,"Mover disco 1 de B a C"
10,2,B,A,"Mover disco 2 de B a A"
11,1,C,A,"Mover disco 1 de C a A"
12,3,B,C,"Mover disco 3 de B a C"
13,1,A,B,"Mover disco 1 de A a B"
14,2,A,C,"Mover disco 2 de A a C"
15,1,B,C,"Mover disco 1 de B a C"
16,5,A,B,"Mover disco 5 de A a B"
17,1,C,A,"Mover disco 1 de C a A"
18,2,C,B,"Mover disco 2 de C a B"
19,1,A,B,"Mover disco 1 de A a B"
20,3,C,A,"Mover disco 3 de C a A"
21,1,B,C,"Mover disco 1 de B a C"
22,2,B,A,"Mover disco 2 de B a A"
23,1,C,A,"Mover disco 1 de C a A"
24,4,C,B,"Mover disco 4 de C a B"
25,1,A,B,"Mover disco 1 de A a B"
26,2,A,C,"Mover disco 2 de A a C"
27,1,B,C,"Mover disco 1 de B a C"
28,3,A,B,"Mover disco 3 de A a B"
29,1,C,A,"Mover disco 1 de C a A"
30,2,C,B,"Mover disco 2 de C a B"
31,1,A,B,"Mover disco 1 de A a B"
32,6,A,C,"Mover disco 6 de A a C"
33,1,B,C,"Mover disco 1 de B a C"
34,2,B,A,"Mover disco 2 de B a A"
35,1,C,A,"Mover disco 1 de C a A"
36,3,B,C,"Mover disco 3 de B a C"
37,1,A,B,"Mover disco 1 de A a B"
38,2,A,C,"Mover disco 2 de A a C"
39,1,B,C,"Mover disco 1 de B a C"
40,4,B,A,"Mover disco 4 de B a A"
41,1,C,A,"Mover disco 1 de C a A"
42,2,C,B,"Mover disco 2 de C a B"
43,1,A,B,"Mover disco 1 de A a B"
44,3,C,A,"Mover disco 3 de C a A"
45,1,B,C,"Mover disco 1 de B a C"
46,2,B,A,"Mover disco 2 de B a A"
47,1,C,A,"Mover disco 1 de C a A"
48,5,B,C,"Mover disco 5 de B a C"
49,1,A,B,"Mover disco 1 de A a B"
50,2,A,C,"Mover disco 2 de A a C"
51,1,B,C,"Mover disco 1 de B a C"
52,3,A,B,"Mover disco 3 de A a B"
53,1,C,A,"Mover disco 1 de C a A"
54,2,C,B,"Mover disco 2 de C a B"
55,1,A,B,"Mover disco 1 de A a B"
56,4,A,C,"Mover disco 4 de A a C"
57,1,B,C,"Mover disco 1 de B a C"
58,2,B,A,"Mover disco 2 de B a A"
59,1,C,A,"Mover disco 1 de C a A"
60,3,B,C,"Mover disco 3 de B a C"
61,1,A,B,"Mover disco 1 de A a B"
62,2,A,C,"Mover disco 2 de A a C"
63,1,B,C,"Mover disco 1 de B a C"
1,1,A,B,"Mover disco 1 de A a B"
2,2,A,C,"Mover disco 2 de A a C"
3,1,B,C,"Mover disco 1 de B a C"
4,3,A,B,"Mover disco 3 de A a B"
5,1,C,A,"Mover disco 1 de C a A"
6,2,C,B,"Mover disco 2 de C a B"
7,1,A,B,"Mover disco 1 de A a B"
8,4,A,C,"Mover disco 4 de A a C"
9,1,B,C,"Mover disco 1 de B a C"
10,2,B,A,"Mover disco 2 de B a A"
11,1,C,A,"Mover disco 1 de C a A"
12,3,B,C,"Mover disco 3 de B a C"
13,1,A,B,"Mover disco 1 de A a B"
14,2,A,C,"Mover disco 2 de A a C"
15,1,B,C,"Mover disco 1 de B a C"
16,5,A,B,"Mover disco 5 de A a B"
17,1,C,A,"Mover disco 1 de C a A"
18,2,C,B,"Mover disco 2 de C a B"
19,1,A,B,"Mover disco 1 de A a B"
20,3,C,A,"Mover disco 3 de C a A"
21,1,B,C,"Mover disco 1 de B a C"
22,2,B,A,"Mover disco 2 de B a A"
23,1,C,A,"Mover disco 1 de C a A"
24,4,C,B,"Mover disco 4 de C a B"
25,1,A,B,"Mover disco 1 de A a B"
26,2,A,C,"Mover disco 2 de A a C"
27,1,B,C,"Mover disco 1 de B a C"
28,3,A,B,"Mover disco 3 de A a B"
29,1,C,A,"Mover disco 1 de C a A"
30,2,C,B,"Mover disco 2 de C a B"
31,1,A,B,"Mover disco 1 de A a B"
32,6,A,C,"Mover disco 6 de A a C"
33,1,B,C,"Mover disco 1 de B a C"
34,2,B,A,"Mover disco 2 de B a A"
35,1,C,A,"Mover disco 1 de C a A"
36,3,B,C,"Mover disco 3 de B a C"
37,1,A,B,"Mover disco 1 de A a B"
38,2,A,C,"Mover disco 2 de A a C"
39,1,B,C,"Mover disco 1 de B a C"
40,4,B,A,"Mover disco 4 de B a A"
41,1,C,A,"Mover disco 1 de C a A"
42,2,C,B,"Mover disco 2 de C a B"
43,1,A,B,"Mover disco 1 de A a B"
44,3,C,A,"Mover disco 3 de C a A"
45,1,B,C,"Mover disco 1 de B a C"
46,2,B,A,"Mover disco 2 de B a A"
47,1,C,A,"Mover disco 1 de C a A"
48,5,B,C,"Mover disco 5 de B a C"
49,1,A,B,"Mover disco 1 de A a B"
50,2,A,C,"Mover disco 2 de A a C"
51,1,B,C,"Mover disco 1 de B a C"
52,3,A,B,"Mover disco 3 de A a B"
53,1,C,A,"Mover disco 1 de C a A"
54,2,C,B,"Mover disco 2 de C a B"
55,1,A,B,"Mover disco 1 de A a B"
56,4,A,C,"Mover disco 4 de A a C"
57,1,B,C,"Mover disco 1 de B a C"
58,2,B,A,"Mover disco 2 de B a A"
59,1,C,A,"Mover disco 1 de C a A"
60,3,B,C,"Mover disco 3 de B a C"
61,1,A,B,"Mover disco 1 de A a B"
62,2,A,C,"Mover disco 2 de A a C"
63,1,B,C,"Mover disco 1 de B a C"
1,1,A,B,"Mover disco 1 de A a B"
2,2,A,C,"Mover disco 2 de A a C"
3,1,B,C,"Mover disco 1 de B a C"
4,3,A,B,"Mover disco 3 de A a B"
5,1,C,A,"Mover disco 1 de C a A"
6,2,C,B,"Mover disco 2 de C a B"
7,1,A,B,"Mover disco 1 de A a B"
8,4,A,C,"Mover disco 4 de A a C"
9,1,B,C,"Mover disco 1 de B a C"
10,2,B,A,"Mover disco 2 de B a A"
11,1,C,A,"Mover disco 1 de C a A"
12,3,B,C,"Mover disco 3 de B a C"
13,1,A,B,"Mover disco 1 de A a B"
14,2,A,C,"Mover disco 2 de A a C"
15,1,B,C,"Mover disco 1 de B a C"
16,5,A,B,"Mover disco 5 de A a B"
17,1,C,A,"Mover disco 1 de C a A"
18,2,C,B,"Mover disco 2 de C a B"
19,1,A,B,"Mover disco 1 de A a B"
20,3,C,A,"Mover disco 3 de C a A"
21,1,B,C,"Mover disco 1 de B a C"
22,2,B,A,"Mover disco 2 de B a A"
