step,disk_size,from_tower,to_tower,move_description
1,1,A,C,"Mover disco 1 de A a C"
2,2,A,B,"Mover disco 2 de A a B"
3,1,C,B,"Mover disco 1 de C a B"
4,3,A,C,"Mover disco 3 de A a C"
5,1,B,A,"Mover disco 1 de B a A"
6,2,B,C,"Mover disco 2 de B a C"
7,1,A,C,"Mover disco 1 de A a C"
8,4,A,B,"Mover disco 4 de A a B"
9,1,C,B,"Mover disco 1 de C a B"
10,2,C,A,"Mover disco 2 de C a A"
11,1,B,A,"Mover disco 1 de B a A"
12,3,C,B,"Mover disco 3 de C a B"
13,1,A,C,"Mover disco 1 de A a C"
14,2,A,B,"Mover disco 2 de A a B"
15,1,C,B,"Mover disco 1 de C a B"
16,5,A,C,"Mover disco 5 de A a C"
17,1,B,A,"Mover disco 1 de B a A"
18,2,B,C,"Mover disco 2 de B a C"
19,1,A,C,"Mover disco 1 de A a C"
20,3,B,A,"Mover disco 3 de B a A"
21,1,C,B,"Mover disco 1 de C a B"
22,2,C,A,"Mover disco 2 de C a A"
23,1,B,A,"Mover disco 1 de B a A"
24,4,B,C,"Mover disco 4 de B a C"
25,1,A,C,"Mover disco 1 de A a C"
26,2,A,B,"Mover disco 2 de A a B"
27,1,C,B,"Mover disco 1 de C a B"
28,3,A,C,"Mover disco 3 de A a C"
29,1,B,A,"Mover disco 1 de B a A"
30,2,B,C,"Mover disco 2 de B a C"
31,1,A,C,"Mover disco 1 de A a C"
